,GF,Poss,Result,Team
0,3,64,W,Borussia Dortmund
1,5,60,W,Borussia Dortmund
2,1,49,L,Borussia Dortmund
3,1,77,L,Borussia Dortmund
4,3,59,W,Borussia Dortmund
5,4,58,W,Borussia Dortmund
6,2,42,W,Borussia Dortmund
7,4,63,W,Borussia Dortmund
8,0,45,L,Borussia Dortmund
9,1,59,W,Borussia Dortmund
10,2,70,W,Borussia Dortmund
11,3,67,W,Borussia Dortmund
12,0,45,L,Borussia Dortmund
13,3,69,W,Borussia Dortmund
14,2,83,W,Borussia Dortmund
15,2,43,W,Borussia Dortmund
16,1,30,L,Borussia Dortmund
17,1,46,L,Borussia Dortmund
18,2,64,W,Borussia Dortmund
19,1,64,L,Borussia Dortmund
20,3,58,W,Borussia Dortmund
21,2,47,L,Borussia Dortmund
22,5,70,W,Borussia Dortmund
23,1,66,D,Borussia Dortmund
24,3,68,W,Borussia Dortmund
25,2,60,L,Borussia Dortmund
26,3,63,W,Borussia Dortmund
27,5,66,W,Borussia Dortmund
28,1,69,L,Borussia Dortmund
29,3,42,W,Borussia Dortmund
30,2,64,L,Borussia Dortmund
31,3,60,W,Borussia Dortmund
32,2,65,L,Borussia Dortmund
33,6,51,W,Borussia Dortmund
34,2,65,D,Borussia Dortmund
35,1,63,D,Borussia Dortmund
36,1,58,W,Borussia Dortmund
37,1,60,W,Borussia Dortmund
38,1,46,D,Borussia Dortmund
39,1,63,L,Borussia Dortmund
40,2,59,W,Borussia Dortmund
41,6,60,W,Borussia Dortmund
42,1,42,L,Borussia Dortmund
43,3,70,L,Borussia Dortmund
44,3,57,W,Borussia Dortmund
45,2,72,W,Borussia Dortmund
0,0,73,L,Eintracht Frankfurt
1,2,40,L,Eintracht Frankfurt
2,0,62,D,Eintracht Frankfurt
3,1,65,D,Eintracht Frankfurt
4,1,59,D,Eintracht Frankfurt
5,1,56,D,Eintracht Frankfurt
6,1,39,D,Eintracht Frankfurt
7,1,48,D,Eintracht Frankfurt
8,1,57,W,Eintracht Frankfurt
9,2,28,W,Eintracht Frankfurt
10,1,58,L,Eintracht Frankfurt
11,3,51,W,Eintracht Frankfurt
12,0,61,L,Eintracht Frankfurt
13,1,46,D,Eintracht Frankfurt
14,2,47,W,Eintracht Frankfurt
15,2,46,W,Eintracht Frankfurt
16,2,38,W,Eintracht Frankfurt
17,2,58,D,Eintracht Frankfurt
18,2,55,W,Eintracht Frankfurt
19,2,51,L,Eintracht Frankfurt
20,1,57,D,Eintracht Frankfurt
21,5,44,W,Eintracht Frankfurt
22,3,43,W,Eintracht Frankfurt
23,1,52,W,Eintracht Frankfurt
24,2,37,L,Eintracht Frankfurt
25,1,51,D,Eintracht Frankfurt
26,0,69,L,Eintracht Frankfurt
27,3,47,W,Eintracht Frankfurt
28,0,63,L,Eintracht Frankfurt
29,0,43,L,Eintracht Frankfurt
30,0,30,L,Eintracht Frankfurt
31,4,52,W,Eintracht Frankfurt
32,2,36,W,Eintracht Frankfurt
33,2,53,W,Eintracht Frankfurt
34,1,45,D,Eintracht Frankfurt
35,0,47,D,Eintracht Frankfurt
36,0,68,D,Eintracht Frankfurt
37,1,34,D,Eintracht Frankfurt
38,1,54,L,Eintracht Frankfurt
39,3,25,W,Eintracht Frankfurt
40,0,55,L,Eintracht Frankfurt
41,2,49,D,Eintracht Frankfurt
42,2,46,W,Eintracht Frankfurt
43,0,46,L,Eintracht Frankfurt
44,1,63,W,Eintracht Frankfurt
45,1,47,D,Eintracht Frankfurt
46,2,51,D,Eintracht Frankfurt
47,1 (5),49,D,Eintracht Frankfurt
0,1,65,D,Bayern Munich
1,3,51,W,Bayern Munich
2,3,57,W,Bayern Munich
3,12,68,W,Bayern Munich
4,5,62,W,Bayern Munich
5,4,48,W,Bayern Munich
6,3,52,W,Bayern Munich
7,7,69,W,Bayern Munich
8,3,67,W,Bayern Munich
9,5,63,W,Bayern Munich
10,1,72,L,Bayern Munich
11,5,59,W,Bayern Munich
12,4,65,W,Bayern Munich
13,4,62,W,Bayern Munich
14,0,62,L,Bayern Munich
15,5,60,W,Bayern Munich
16,5,64,W,Bayern Munich
17,2,63,W,Bayern Munich
18,1,79,L,Bayern Munich
19,2,60,W,Bayern Munich
20,1,73,W,Bayern Munich
21,3,53,W,Bayern Munich
22,3,52,W,Bayern Munich
23,2,64,W,Bayern Munich
24,5,57,W,Bayern Munich
25,4,62,W,Bayern Munich
26,1,61,L,Bayern Munich
27,4,52,W,Bayern Munich
28,4,70,W,Bayern Munich
29,3,58,W,Bayern Munich
30,2,64,L,Bayern Munich
31,1,71,D,Bayern Munich
32,4,77,W,Bayern Munich
33,1,70,W,Bayern Munich
34,1,68,D,Bayern Munich
35,7,72,W,Bayern Munich
36,1,61,D,Bayern Munich
37,4,71,W,Bayern Munich
38,4,61,W,Bayern Munich
39,0,60,L,Bayern Munich
40,1,67,W,Bayern Munich
41,1,67,D,Bayern Munich
42,3,74,W,Bayern Munich
43,3,58,W,Bayern Munich
44,1,67,L,Bayern Munich
45,2,75,D,Bayern Munich
46,2,67,D,Bayern Munich
0,2 (4),69,D,Greuther Fürth
1,1,33,L,Greuther Fürth
2,1,65,D,Greuther Fürth
3,0,52,L,Greuther Fürth
4,0,30,L,Greuther Fürth
5,1,43,L,Greuther Fürth
6,1,33,L,Greuther Fürth
7,1,34,L,Greuther Fürth
8,0,57,L,Greuther Fürth
9,1,44,L,Greuther Fürth
10,1,49,L,Greuther Fürth
11,1,54,L,Greuther Fürth
12,0,43,L,Greuther Fürth
13,3,49,L,Greuther Fürth
14,1,40,L,Greuther Fürth
15,1,38,W,Greuther Fürth
16,0,32,L,Greuther Fürth
17,0,49,D,Greuther Fürth
18,0,39,D,Greuther Fürth
19,2,55,D,Greuther Fürth
20,2,43,W,Greuther Fürth
21,1,44,L,Greuther Fürth
22,2,40,W,Greuther Fürth
23,1,23,L,Greuther Fürth
24,1,41,D,Greuther Fürth
25,1,55,L,Greuther Fürth
26,1,47,L,Greuther Fürth
27,0,39,D,Greuther Fürth
28,0,32,D,Greuther Fürth
29,0,50,L,Greuther Fürth
30,0,42,D,Greuther Fürth
31,1,51,L,Greuther Fürth
32,1,46,D,Greuther Fürth
33,1,43,L,Greuther Fürth
34,1,50,L,Greuther Fürth
