Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-08,15:30 (09:30),DFB-Pokal,Round of 64,Sun,Away,L,0,2,SV Waldhof,,,73,11000,Sebastian Rode,3-4-3,Sascha Stegemann,Match Report,
2021-08-14,18:30 (12:30),Bundesliga,Matchweek 1,Sat,Away,L,2,5,Dortmund,1.8,2.5,40,25000,Makoto Hasebe,3-4-3,Tobias Stieler,Match Report,
2021-08-21,15:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,D,0,0,Augsburg,1.4,0.2,62,22000,Martin Hinteregger,4-2-3-1,Harm Osmers,Match Report,
2021-08-28,15:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,D,1,1,Arminia,2.1,0.7,65,13750,Martin Hinteregger,4-2-3-1,Bastian Dankert,Match Report,
2021-09-12,15:30 (09:30),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Stuttgart,1.3,1.4,59,25000,Martin Hinteregger,4-2-3-1,Matthias Jöllenbeck,Match Report,
2021-09-16,21:00 (15:00),Europa Lg,Group stage,Thu,Home,D,1,1,tr Fenerbahçe,0.9,2.1,56,25000,Martin Hinteregger,4-4-2,Maurizio Mariani,Match Report,
2021-09-19,19:30 (13:30),Bundesliga,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,0.3,1.7,39,9266,Martin Hinteregger,4-2-3-1,Felix Zwayer,Match Report,
2021-09-25,15:30 (09:30),Bundesliga,Matchweek 6,Sat,Home,D,1,1,Köln,1.2,1.0,48,24000,Martin Hinteregger,4-2-3-1,Martin Petersen,Match Report,
2021-09-30,18:45 (12:45),Europa Lg,Group stage,Thu,Away,W,1,0,be Antwerp,1.3,0.7,57,13183,Makoto Hasebe,3-4-1-2,Jakob Kehlet,Match Report,
2021-10-03,17:30 (11:30),Bundesliga,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,0.7,2.7,28,25000,Martin Hinteregger,3-4-3,Florian Badstübner,Match Report,
2021-10-16,15:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,L,1,2,Hertha BSC,1.5,1.8,58,32000,Makoto Hasebe,3-4-1-2,Deniz Aytekin,Match Report,
2021-10-21,21:00 (15:00),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,3.4,1.1,51,35000,Makoto Hasebe,3-4-1-2,Tiago Martins,Match Report,
2021-10-24,19:30 (13:30),Bundesliga,Matchweek 9,Sun,Away,L,0,2,Bochum,1.6,2.1,61,19510,Makoto Hasebe,3-4-1-2,Marco Fritz,Match Report,
2021-10-30,18:30 (12:30),Bundesliga,Matchweek 10,Sat,Home,D,1,1,RB Leipzig,0.6,2.8,46,31000,Kevin Trapp,3-4-3,Daniel Schlager,Match Report,
2021-11-04,19:45 (13:45),Europa Lg,Group stage,Thu,Away,W,2,1,gr Olympiacos,1.0,1.3,47,23050,Makoto Hasebe,3-4-1-2,Aliaksei Kulbakou,Match Report,
2021-11-07,19:30 (13:30),Bundesliga,Matchweek 11,Sun,Away,W,2,1,Greuther Fürth,1.5,2.8,46,10244,Martin Hinteregger,3-4-3,Daniel Siebert,Match Report,
2021-11-21,15:30 (09:30),Bundesliga,Matchweek 12,Sun,Away,W,2,0,Freiburg,1.3,1.7,38,32500,Makoto Hasebe,3-4-3,Florian Badstübner,Match Report,
2021-11-25,21:00 (15:00),Europa Lg,Group stage,Thu,Home,D,2,2,be Antwerp,1.4,0.8,58,30000,Makoto Hasebe,3-4-3,Paul Tierney,Match Report,
2021-11-28,15:30 (09:30),Bundesliga,Matchweek 13,Sun,Home,W,2,1,Union Berlin,1.9,1.3,55,24000,Makoto Hasebe,3-4-3,Sascha Stegemann,Match Report,
2021-12-04,15:30 (09:30),Bundesliga,Matchweek 14,Sat,Away,L,2,3,Hoffenheim,1.7,0.9,51,,Makoto Hasebe,3-4-3,Daniel Schlager,Match Report,
2021-12-09,20:45 (12:45),Europa Lg,Group stage,Thu,Away,D,1,1,tr Fenerbahçe,0.8,0.7,57,8932,Makoto Hasebe,3-4-3,Srđan Jovanović,Match Report,
2021-12-12,17:30 (11:30),Bundesliga,Matchweek 15,Sun,Home,W,5,2,Leverkusen,1.6,1.7,44,12000,Martin Hinteregger,3-4-3,Marco Fritz,Match Report,
2021-12-15,18:30 (12:30),Bundesliga,Matchweek 16,Wed,Away,W,3,2,M'Gladbach,1.8,1.9,43,10028,Martin Hinteregger,3-4-3,Martin Petersen,Match Report,
2021-12-18,15:30 (09:30),Bundesliga,Matchweek 17,Sat,Home,W,1,0,Mainz 05,2.0,0.8,52,15000,Sebastian Rode,3-4-3,Felix Brych,Match Report,
2022-01-08,18:30 (12:30),Bundesliga,Matchweek 18,Sat,Home,L,2,3,Dortmund,1.2,2.4,37,250,Sebastian Rode,3-4-3,Robert Schröder,Match Report,
2022-01-16,15:30 (09:30),Bundesliga,Matchweek 19,Sun,Away,D,1,1,Augsburg,2.2,1.4,51,,Sebastian Rode,3-4-3,Sven Jablonski,Match Report,
2022-01-21,20:30 (14:30),Bundesliga,Matchweek 20,Fri,Home,L,0,2,Arminia,1.9,1.5,69,1000,Sebastian Rode,3-4-3,Tobias Reichel,Match Report,
2022-02-05,15:30 (09:30),Bundesliga,Matchweek 21,Sat,Away,W,3,2,Stuttgart,1.1,1.8,47,10000,Sebastian Rode,3-5-2,Sascha Stegemann,Match Report,
2022-02-12,15:30 (09:30),Bundesliga,Matchweek 22,Sat,Home,L,0,2,Wolfsburg,1.1,1.6,63,10000,Martin Hinteregger,3-4-3,Frank Willenborg,Match Report,
2022-02-19,18:30 (12:30),Bundesliga,Matchweek 23,Sat,Away,L,0,1,Köln,0.7,1.3,43,10000,Sebastian Rode,3-5-2,Christian Dingert,Match Report,
2022-02-26,18:30 (12:30),Bundesliga,Matchweek 24,Sat,Home,L,0,1,Bayern Munich,0.8,2.0,30,25000,Kevin Trapp,3-4-3,Florian Badstübner,Match Report,
2022-03-05,15:30 (09:30),Bundesliga,Matchweek 25,Sat,Away,W,4,1,Hertha BSC,1.3,0.7,52,25000,Kevin Trapp,3-4-3,Harm Osmers,Match Report,
2022-03-09,18:45 (12:45),Europa Lg,Round of 16,Wed,Away,W,2,1,es Betis,2.1,0.9,36,36574,Kevin Trapp,3-4-3,Marco Guida,Match Report,Leg 1 of 2
2022-03-13,17:30 (12:30),Bundesliga,Matchweek 26,Sun,Home,W,2,1,Bochum,1.9,1.0,53,24000,Kevin Trapp,3-4-3,Marco Fritz,Match Report,
2022-03-17,21:00 (16:00),Europa Lg,Round of 16,Thu,Home,D,1,1,es Betis,1.4,1.4,45,25000,Kevin Trapp,3-4-3,Michael Oliver,Match Report,Leg 2 of 2; Eint Frankfurt won; Required Extra Time
2022-03-20,15:30 (10:30),Bundesliga,Matchweek 27,Sun,Away,D,0,0,RB Leipzig,0.1,1.2,47,43058,Sebastian Rode,3-4-3,Christian Dingert,Match Report,
2022-04-02,15:30 (09:30),Bundesliga,Matchweek 28,Sat,Home,D,0,0,Greuther Fürth,1.4,0.4,68,50500,Makoto Hasebe,3-5-2,Bastian Dankert,Match Report,
2022-04-07,21:00 (15:00),Europa Lg,Quarter-finals,Thu,Home,D,1,1,es Barcelona,1.4,0.6,34,48000,Kevin Trapp,3-4-3,Srđan Jovanović,Match Report,Leg 1 of 2
2022-04-10,17:30 (11:30),Bundesliga,Matchweek 29,Sun,Home,L,1,2,Freiburg,1.1,0.9,54,47000,Sebastian Rode,3-4-3,Felix Brych,Match Report,
2022-04-14,21:00 (15:00),Europa Lg,Quarter-finals,Thu,Away,W,3,2,es Barcelona,2.0,2.5,25,79468,Sebastian Rode,3-4-3,Artur Dias,Match Report,Leg 2 of 2; Eint Frankfurt won
2022-04-17,17:30 (11:30),Bundesliga,Matchweek 30,Sun,Away,L,0,2,Union Berlin,0.5,1.2,55,22000,Martin Hinteregger,3-4-3,Frank Willenborg,Match Report,
2022-04-23,15:30 (09:30),Bundesliga,Matchweek 31,Sat,Home,D,2,2,Hoffenheim,1.5,1.0,49,50500,Sebastian Rode,3-4-3,Sven Jablonski,Match Report,
2022-04-28,20:00 (15:00),Europa Lg,Semi-finals,Thu,Away,W,2,1,eng West Ham,1.4,2.1,46,60000,Sebastian Rode,3-4-3,Serdar Gözübüyük,Match Report,Leg 1 of 2
2022-05-02,20:30 (14:30),Bundesliga,Matchweek 32,Mon,Away,L,0,2,Leverkusen,0.4,1.9,46,26492,Makoto Hasebe,3-4-3,Benjamin Cortus,Match Report,
2022-05-05,21:00 (15:00),Europa Lg,Semi-finals,Thu,Home,W,1,0,eng West Ham,1.2,0.9,63,48000,Sebastian Rode,3-4-3,Jesús Gil,Match Report,Leg 2 of 2; Eint Frankfurt won
2022-05-08,15:30 (09:30),Bundesliga,Matchweek 33,Sun,Home,D,1,1,M'Gladbach,0.9,1.5,47,51500,Makoto Hasebe,3-5-2,Felix Zwayer,Match Report,
2022-05-14,15:30 (09:30),Bundesliga,Matchweek 34,Sat,Away,D,2,2,Mainz 05,1.7,1.7,51,33000,Sebastian Rode,3-4-3,Martin Petersen,Match Report,
2022-05-18,21:00 (15:00),Europa Lg,Final,Wed,Home,D,1 (5),1 (4),sct Rangers,1.8,1.4,49,,Sebastian Rode,3-4-3,Slavko Vinčič,Match Report,Eint Frankfurt won on penalty kicks following extra time
