Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,18:30 (12:30),DFB-Pokal,Round of 64,Sat,Away,D,2 (4),2 (5),Babelsberg 03,,,69,3030,Branimir Hrgota,4-4-2◆,Robin Braun,Match Report,Babelsberg 03 won on penalty kicks following extra time
2021-08-14,15:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,1,5,Stuttgart,0.8,4.0,33,18109,Branimir Hrgota,3-5-2,Felix Zwayer,Match Report,
2021-08-21,15:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Arminia,2.3,0.6,65,5890,Branimir Hrgota,4-4-2◆,Daniel Schlager,Match Report,
2021-08-28,15:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Mainz 05,0.4,2.6,52,11500,Branimir Hrgota,4-4-2◆,Tobias Reichel,Match Report,
2021-09-11,15:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Wolfsburg,0.5,1.6,30,9000,Branimir Hrgota,4-4-2,Robert Hartmann,Match Report,
2021-09-17,20:30 (14:30),Bundesliga,Matchweek 5,Fri,Away,L,1,2,Hertha BSC,1.3,1.1,43,21372,Branimir Hrgota,4-2-2-2,Tobias Stieler,Match Report,
2021-09-24,20:30 (14:30),Bundesliga,Matchweek 6,Fri,Home,L,1,3,Bayern Munich,1.0,0.9,33,11740,Branimir Hrgota,4-3-3,Robert Schröder,Match Report,
2021-10-01,20:30 (14:30),Bundesliga,Matchweek 7,Fri,Away,L,1,3,Köln,1.2,2.7,34,40000,Branimir Hrgota,4-4-2◆,Matthias Jöllenbeck,Match Report,
2021-10-16,15:30 (09:30),Bundesliga,Matchweek 8,Sat,Home,L,0,1,Bochum,1.0,1.2,57,10586,Branimir Hrgota,4-4-2◆,Bastian Dankert,Match Report,
2021-10-23,15:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,1,4,RB Leipzig,1.5,2.5,44,24758,Branimir Hrgota,4-2-3-1,Christian Dingert,Match Report,
2021-10-30,15:30 (09:30),Bundesliga,Matchweek 10,Sat,Away,L,1,3,Freiburg,0.7,1.3,49,31500,Branimir Hrgota,4-3-3,Felix Brych,Match Report,
2021-11-07,19:30 (13:30),Bundesliga,Matchweek 11,Sun,Home,L,1,2,Eint Frankfurt,2.8,1.5,54,10244,Branimir Hrgota,4-3-3,Daniel Siebert,Match Report,
2021-11-20,15:30 (09:30),Bundesliga,Matchweek 12,Sat,Away,L,0,4,M'Gladbach,0.4,2.6,43,38621,Branimir Hrgota,4-2-3-1,Benjamin Brand,Match Report,
2021-11-27,15:30 (09:30),Bundesliga,Matchweek 13,Sat,Home,L,3,6,Hoffenheim,1.4,3.0,49,3385,Branimir Hrgota,4-3-3,Bastian Dankert,Match Report,
2021-12-04,15:30 (09:30),Bundesliga,Matchweek 14,Sat,Away,L,1,7,Leverkusen,0.4,2.8,40,10455,Branimir Hrgota,4-4-1-1,Tobias Reichel,Match Report,
2021-12-12,15:30 (09:30),Bundesliga,Matchweek 15,Sun,Home,W,1,0,Union Berlin,0.7,1.2,38,,Branimir Hrgota,4-3-3,Sven Jablonski,Match Report,
2021-12-15,20:30 (14:30),Bundesliga,Matchweek 16,Wed,Away,L,0,3,Dortmund,0.6,1.8,32,15000,Sascha Burchert,4-3-3,Daniel Schlager,Match Report,
2021-12-18,15:30 (09:30),Bundesliga,Matchweek 17,Sat,Home,D,0,0,Augsburg,0.1,1.2,49,,Branimir Hrgota,4-4-2◆,Sascha Stegemann,Match Report,
2022-01-08,15:30 (09:30),Bundesliga,Matchweek 18,Sat,Home,D,0,0,Stuttgart,0.8,1.4,39,,Branimir Hrgota,4-4-2◆,Felix Brych,Match Report,
2022-01-16,17:30 (11:30),Bundesliga,Matchweek 19,Sun,Away,D,2,2,Arminia,0.4,0.8,55,750,Branimir Hrgota,4-4-2◆,Christian Dingert,Match Report,
2022-01-22,15:30 (09:30),Bundesliga,Matchweek 20,Sat,Home,W,2,1,Mainz 05,1.1,2.0,43,,Branimir Hrgota,4-4-2◆,Robert Schröder,Match Report,
2022-02-06,17:30 (11:30),Bundesliga,Matchweek 21,Sun,Away,L,1,4,Wolfsburg,1.1,2.0,44,500,Branimir Hrgota,4-3-3,Martin Petersen,Match Report,
2022-02-12,15:30 (09:30),Bundesliga,Matchweek 22,Sat,Home,W,2,1,Hertha BSC,2.5,2.3,40,9000,Branimir Hrgota,4-4-2◆,Daniel Schlager,Match Report,
2022-02-20,15:30 (09:30),Bundesliga,Matchweek 23,Sun,Away,L,1,4,Bayern Munich,0.9,2.7,23,25000,Branimir Hrgota,4-4-2◆,Robert Hartmann,Match Report,
2022-02-26,15:30 (09:30),Bundesliga,Matchweek 24,Sat,Home,D,1,1,Köln,0.8,0.8,41,9200,Branimir Hrgota,4-4-2◆,Robert Schörgenhofer,Match Report,
